Date,MtoM P&L,Gross P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total,Total Cum Sum
04/01/2021,-26993.00000000017,33684.00025000025,6652.980250000081,6.33,31.69,FX - Sell USD,5.2568,-50000.0,-46777.14953499554,82208.11761000002,28777.987825004384,-43347.01974999992,35430.968075004464
05/01/2021,-18080.000000000004,10434.99999999999,-7667.500000000011,3.75,18.75,-,-,0.0,-54444.64953499555,82208.11761000002,35430.968075004464,-7667.500000000011,27763.468075004454
06/01/2021,-14220.000000000116,4350.0002000000895,-9889.499800000029,3.25,16.25,-,-,0.0,-64334.14933499558,82208.11761000002,27763.468075004454,-9889.499800000029,17873.968275004423
07/01/2021,960.0000000000052,630.0000000000638,1569.0000000000693,3.5,17.5,-,-,0.0,-62765.149334995505,82208.11761000002,17873.968275004423,1569.0000000000693,19442.968275004492
08/01/2021,-15100.00000000007,6420.000060000148,-8723.83993999992,8.65,35.19,-,-,0.0,-71488.98927499543,82208.11761000002,19442.968275004492,-8723.83993999992,10719.128335004572
11/01/2021,7470.000000000003,-1046.2500099999988,6411.824990000004,2.375,9.55,-,-,0.0,-65077.16428499543,82208.11761000002,10719.128335004572,6411.824990000004,17130.953325004575
12/01/2021,-942.5000000000031,-2143.7499950000074,-3109.9049950000103,4.175,19.48,-,-,0.0,-68187.06927999544,82208.11761000002,17130.953325004575,-3109.9049950000103,14021.048330004565
13/01/2021,6110.000000000127,-5897.499750000043,179.5502500000843,5.75,27.2,-,-,0.0,-68007.51902999535,82208.11761000002,14021.048330004565,179.5502500000843,14200.59858000465
14/01/2021,-3870.000000000089,3212.499999999841,-688.9500000002486,5.5,25.95,-,-,0.0,-68696.4690299956,82208.11761000002,14200.59858000465,-688.9500000002486,13511.648580004401
15/01/2021,-21054.99999999973,5094.999999999455,-16008.500000000276,7.76,40.74,FX - Sell USD,5.2667,-20000.0,-84704.96902999587,62208.117610000016,-6488.351419995599,-36008.50000000028,-22496.851419995874
18/01/2021,0.0,800.0,788.0,2.0,10.0,-,-,0.0,-83916.96902999587,62208.117610000016,-22496.851419995874,788.0,-21708.851419995874
19/01/2021,-20284.99999999979,2229.249994999983,-18065.565004999808,1.6549999999999998,8.16,-,-,0.0,-101982.53403499568,62208.117610000016,-21708.851419995874,-18065.565004999808,-39774.41642499568
20/01/2021,-30048.000000000062,-1909.9996000001847,-31986.74960000025,4.63,24.12,-,-,0.0,-133969.28363499593,62208.117610000016,-39774.41642499568,-31986.74960000025,-71761.16602499594
21/01/2021,1015.0000000000107,-675.0,331.00000000001063,1.5,7.5,-,-,0.0,-133638.28363499593,62208.117610000016,-71761.16602499594,331.00000000001063,-71430.16602499592
22/01/2021,-5509.000000000129,-9.750199999934807,-5557.795200000066,5.7250000000000005,33.32,FX - Buy USD,5.4166,51692.94391,-139196.07883499598,113901.06152000002,-19737.22211499593,46135.148709999936,-25295.01731499599
25/01/2021,7040.0000000001355,0.0,7040.0000000001355,0.0,0.0,-,-,0.0,-132156.07883499583,113901.06152000002,-25295.017314995996,7040.0000000001355,-18255.017314995854
26/01/2021,-5360.000000000085,1247.4999999999227,-4138.000000000162,4.25,21.25,-,-,0.0,-136294.078834996,113901.06152000002,-18255.01731499586,-4138.000000000162,-22393.017314996017
27/01/2021,-77720.00000000007,8877.00005000004,-68895.64995000004,7.19,45.46,-,-,0.0,-205189.72878499603,113901.06152000002,-22393.017314996025,-68895.64995000004,-91288.66726499605
28/01/2021,17550.000000000182,12692.249730000032,30154.84973000021,16.05,71.35,-,-,0.0,-175034.8790549958,113901.06152000002,-91288.66726499607,30154.84973000021,-61133.81753499585
29/01/2021,-21891.00000000012,3949.9999999998686,-17979.750000000247,5.65,33.1,FX - Buy USD,5.4451,73460.54,-193014.62905499607,187361.60152000003,12326.722465004132,55480.789999999746,-5653.027534996101
01/02/2021,48780.00000000002,-16959.500000000036,31785.209999999977,6.0299999999999985,29.26,-,-,0.0,-161229.4190549961,187361.60152000003,-5653.027534996116,31785.209999999977,26132.182465003876
02/02/2021,11770.000000000087,-2437.5,9302.500000000087,5.0,25.0,-,-,0.0,-151926.91905499602,187361.60152000003,26132.18246500386,9302.500000000087,35434.68246500396
03/02/2021,4234.9999999998,-544.9999999999136,3673.4999999998863,2.75,13.75,-,-,0.0,-148253.41905499613,187361.60152000003,35434.68246500395,3673.4999999998863,39108.18246500385
04/02/2021,12065.000000000024,-7850.0000999999875,4205.999900000037,1.5,7.5,-,-,0.0,-144047.4191549961,187361.60152000003,39108.18246500383,4205.999900000037,43314.182365003886
05/02/2021,-980.0000000000251,400.00000000009095,-594.9999999999343,2.5,12.5,-,-,0.0,-144642.41915499605,187361.60152000003,43314.18236500387,-594.9999999999343,42719.18236500395
08/02/2021,13979.999999999887,-7762.499999999726,6185.750000000161,5.13,26.62,-,-,0.0,-138456.66915499588,187361.60152000003,42719.18236500394,6185.750000000161,48904.93236500411
09/02/2021,1269.9999999999495,-750.0,512.4999999999495,1.25,6.25,-,-,0.0,-137944.16915499594,187361.60152000003,48904.9323650041,512.4999999999495,49417.43236500406
10/02/2021,739.999999999984,735.0000000000363,1463.0000000000205,2.0,10.0,TT Fee,-,-250.0,-136481.1691549959,187111.60152000003,49167.432365004046,1213.0000000000205,50630.43236500408
11/02/2021,1409.9999999999936,-317.49995000000126,1082.0000499999921,1.75,8.75,-,-,0.0,-135399.1691049959,187111.60152000003,50630.43236500407,1082.0000499999921,51712.43241500408
12/02/2021,3674.999999999965,-519.9999999999363,3134.000000000029,3.5,17.5,-,-,0.0,-132265.16910499588,187111.60152000003,51712.43241500406,3134.000000000029,54846.43241500411
15/02/2021,0.0,0.0,0.0,0.0,0.0,-,-,0.0,-132265.16910499588,187111.60152000003,54846.43241500409,0.0,54846.43241500411
16/02/2021,-965.0000000000432,0.0,-965.0000000000432,0.0,0.0,-,-,0.0,-133230.1691049959,187111.60152000003,54846.43241500409,-965.0000000000432,53881.43241500406
17/02/2021,-179.99999999990604,-962.5002000000903,-1163.1801999999966,3.55,17.13,-,-,0.0,-134393.3493049959,187111.60152000003,53881.43241500405,-1163.1801999999966,52718.25221500407
18/02/2021,3339.999999999995,-1412.5001999999085,1899.3198000000864,4.8,23.38,-,-,0.0,-132494.02950499582,187111.60152000003,52718.25221500405,1899.3198000000864,54617.57201500415
