Date,MtoM P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total Cum Sum
14/01/2021,-3870.000000000089,-688.9500000002486,5.5,25.95,-,-,0.0,-68696.4690299956,82208.11761000002,14200.59858000465,13511.648580004401
15/01/2021,-21054.99999999973,-16008.500000000276,7.76,40.74,FX - Sell USD,5.2667,-20000.0,-84704.96902999587,62208.117610000016,-6488.351419995599,-22496.851419995874
18/01/2021,0.0,788.0,2.0,10.0,-,-,0.0,-83916.96902999587,62208.117610000016,-22496.851419995874,-21708.851419995874
19/01/2021,-20284.99999999979,-18065.565004999808,1.6549999999999998,8.16,-,-,0.0,-101982.53403499568,62208.117610000016,-21708.851419995874,-39774.41642499568
20/01/2021,-30048.000000000062,-31986.74960000025,4.63,24.12,-,-,0.0,-133969.28363499593,62208.117610000016,-39774.41642499568,-71761.16602499594
21/01/2021,1015.0000000000107,331.00000000001063,1.5,7.5,-,-,0.0,-133638.28363499593,62208.117610000016,-71761.16602499594,-71430.16602499592
22/01/2021,-5509.000000000129,-5557.795200000066,5.7250000000000005,33.32,FX - Buy USD,5.4166,51692.94391,-139196.07883499598,113901.06152000002,-19737.22211499593,-25295.01731499599
25/01/2021,7040.0000000001355,7040.0000000001355,0.0,0.0,-,-,0.0,-132156.07883499583,113901.06152000002,-25295.017314995996,-18255.017314995854
26/01/2021,-5360.000000000085,-4138.000000000162,4.25,21.25,-,-,0.0,-136294.078834996,113901.06152000002,-18255.01731499586,-22393.017314996017
27/01/2021,-77720.00000000007,-68895.64995000004,7.19,45.46,-,-,0.0,-205189.72878499603,113901.06152000002,-22393.017314996025,-91288.66726499605
28/01/2021,17550.000000000182,30154.84973000021,16.05,71.35,-,-,0.0,-175034.8790549958,113901.06152000002,-91288.66726499607,-61133.81753499585
29/01/2021,-21891.00000000012,-17979.750000000247,5.65,33.1,FX - Buy USD,5.4451,73460.54,-193014.62905499607,187361.60152000003,12326.722465004132,-5653.027534996101
01/02/2021,48780.00000000002,31785.209999999977,6.0299999999999985,29.26,-,-,0.0,-161229.4190549961,187361.60152000003,-5653.027534996116,26132.182465003876
