Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Sell Quant Rolagem,Buy Quant Rolagem,Buy Price Rolagem,Sell Price Rolagem,Buy Quant Total,Sell Quant Total,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L Trades,Gross P&L Rolagem,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
15/04/2021,ISPM21,5.0,4156.35,35.0,4163.3928571428605,4167.75,0.0,0.0,0.0,0.0,5.0,35.0,5.6134,5.6973,12.0,486260.775,-26803.984999967328,0.0,-26803.984999967328,40.0,2.39,96.19047619047619,476.57914500000004,458940.21085503267
16/04/2021,ISPM21,12.0,4179.4375,10.0,4175.725,4176.25,0.0,0.0,0.0,0.0,12.0,10.0,5.5846,5.6973,14.0,28481.46,-12146.504999998984,0.0,-12146.504999998984,22.0,2.39,96.19047619047619,163.398564,16149.556436001016
19/04/2021,ISPM21,0.0,0.0,0.0,0.0,4160.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5539,5.6973,14.0,-61231.7475,0.0,0.0,0.0,0.0,2.61,28.285714285714285,0.0,-61231.7475
20/04/2021,ISPM21,4.0,4125.0,0.0,0.0,4125.0,0.0,0.0,0.0,0.0,4.0,0.0,5.5565,5.6973,18.0,-138079.025,0.0,0.0,0.0,4.0,2.61,28.285714285714285,59.479812,-138142.504812
22/04/2021,ISPM21,17.0,4154.45588235294,8.0,4144.09375,4134.5,0.0,0.0,0.0,0.0,17.0,8.0,5.4661,5.6973,27.0,46735.155,-71742.5624999928,0.0,-71742.5624999928,25.0,2.61,28.285714285714285,252.789201,-25285.196700992798
23/04/2021,ISPM21,0.0,0.0,2.0,4159.625,4171.5,0.0,0.0,0.0,0.0,0.0,2.0,5.4949,5.6973,25.0,274470.255,-6525.19375,0.0,-6525.19375,2.0,2.61,28.285714285714285,29.739906,267913.32134400005
26/04/2021,ISPM21,14.0,4177.33928571429,7.0,4180.8571428571395,4185.0,0.0,0.0,0.0,0.0,14.0,7.0,5.4618,5.6973,32.0,92167.875,21369.292499977648,0.0,21369.292499977648,21.0,3.07,25.238095238095237,244.869954,113271.29754597765
27/04/2021,ISPM21,16.0,4179.921875,19.0,4184.171052631579,4179.0,0.0,0.0,0.0,0.0,16.0,19.0,5.4529999999999985,5.6973,29.0,-52348.79999999999,22766.275000001235,0.0,22766.275000001235,35.0,3.07,25.238095238095237,332.323509,-29949.848508998755
28/04/2021,ISPM21,15.0,4187.966666666671,13.0,4189.30769230769,4189.5,0.0,0.0,0.0,0.0,15.0,13.0,5.3716,5.6973,31.0,81782.61,5505.889999974107,0.0,5505.889999974107,28.0,3.07,25.238095238095237,262.360665,86998.13933497411
29/04/2021,ISPM21,1.0,4186.75,3.0,4209.6666666666715,4205.0,0.0,0.0,0.0,0.0,1.0,3.0,5.3546,5.6973,29.0,128644.26499999998,8634.292500003896,0.0,8634.292500003896,4.0,3.07,25.238095238095237,52.472133,137222.0853670039
30/04/2021,ISPM21,9.0,4185.11111111111,1.0,4179.75,4185.25,0.0,0.0,0.0,0.0,9.0,1.0,5.4102,5.6973,37.0,-154934.60249999998,-1149.6674999982777,0.0,-1149.6674999982777,10.0,3.07,25.238095238095237,157.416399,-156251.68639899825
03/05/2021,ISPM21,15.0,4191.3,11.0,4196.84090909091,4185.75,0.0,0.0,0.0,0.0,15.0,11.0,5.4069,5.4036,41.0,5001.382500000001,10475.868750001722,0.0,10475.868750001722,26.0,2.84,22.238095238095237,230.19335999999996,15221.057890001723
04/05/2021,ISPM21,3.0,4149.9166666666715,1.0,4134.5,4162.0,0.0,0.0,0.0,0.0,3.0,1.0,5.4322,5.4036,43.0,-264480.2375,2376.5874999960474,0.0,2376.5874999960474,4.0,2.84,22.238095238095237,46.038672,-262153.688672004
05/05/2021,ISPM21,3.0,4174.5,2.0,4178.125,4162.0,0.0,0.0,0.0,0.0,3.0,2.0,5.3623,5.4036,44.0,-0.0,-1407.60375,0.0,-1407.60375,5.0,2.84,22.238095238095237,46.038672,-1458.642422
06/05/2021,ISPM21,1.0,4166.75,9.0,4202.0,4202.0,0.0,0.0,0.0,0.0,1.0,9.0,5.2816,5.4036,36.0,464780.8,9308.82,0.0,9308.82,10.0,2.84,22.238095238095237,138.116016,473941.503984
07/05/2021,ISPM21,3.0,4221.8333333333285,4.0,4223.875,4232.0,0.0,0.0,0.0,0.0,3.0,4.0,5.2238,5.4036,35.0,282085.2,-522.3799999961992,0.0,-522.3799999961992,7.0,2.84,22.238095238095237,61.384896,281494.4351040038
10/05/2021,ISPM21,10.0,4213.5,2.0,4208.625,4180.0,0.0,0.0,0.0,0.0,10.0,2.0,5.2396,5.4036,43.0,-476803.60000000003,-72764.945,0.0,-72764.945,12.0,2.84,16.476190476190474,153.46223999999998,-549734.0072400001
11/05/2021,ISPM21,19.0,4131.30263157895,17.0,4133.588235294121,4146.25,0.0,0.0,0.0,0.0,19.0,17.0,5.2367,5.4036,45.0,-379988.04375,18001.156249999523,0.0,18001.156249999523,36.0,2.84,16.476190476190474,291.57825599999995,-362314.4657560005
12/05/2021,ISPM21,23.0,4111.80434782609,8.0,4086.375,4055.5,0.0,0.0,0.0,0.0,23.0,8.0,5.2835,5.4036,60.0,-1078824.65625,-276855.40000001685,0.0,-276855.40000001685,31.0,2.84,16.476190476190474,352.963152,-1356064.019402017
13/05/2021,ISPM21,6.0,4103.7916666666715,3.0,4088.8333333333294,4112.0,0.0,0.0,0.0,0.0,6.0,3.0,5.3017,5.4036,63.0,898638.15,-5367.97125001085,0.0,-5367.97125001085,9.0,2.84,16.476190476190474,92.077344,893169.1014059891
14/05/2021,ISPM21,0.0,0.0,0.0,0.0,4175.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2696,5.4036,63.0,1045752.1199999999,0.0,0.0,0.0,0.0,2.84,16.476190476190474,0.0,1045752.1199999999
17/05/2021,ISPM21,1.0,4162.0,2.0,4163.375,4163.75,0.0,0.0,0.0,0.0,1.0,2.0,5.2588,5.4036,62.0,-186358.725,262.94,0.0,262.94,3.0,2.84,15.761904761904763,30.692448,-186129.477448
18/05/2021,ISPM21,14.0,4129.696428571428,7.0,4132.3571428571395,4117.25,0.0,0.0,0.0,0.0,14.0,7.0,5.2585,5.4036,69.0,-758012.7749999999,-18010.362500005736,0.0,-18010.362500005736,21.0,2.84,15.761904761904763,214.84713599999998,-776258.9846360057
19/05/2021,ISPM21,6.0,4090.916666666671,25.0,4080.87,4108.25,0.0,0.0,0.0,0.0,6.0,25.0,5.3095,5.4036,50.0,-164859.975,-154108.23750000773,0.0,-154108.23750000773,31.0,2.84,15.761904761904763,383.6556,-319382.8681000077
20/05/2021,ISPM21,11.0,4153.15909090909,2.0,4128.75,4156.5,0.0,0.0,0.0,0.0,11.0,2.0,5.2845,5.4036,59.0,637442.8125,-4954.218749997597,0.0,-4954.218749997597,13.0,2.84,15.761904761904763,168.808464,632306.7852860024
